,Rel_girth,length_max,LOG10_RelGirth,LOG10_LengthMax
Aipysurus_apraefrontalis,1.516,1040,0.180699201,3.017033339
Aipysurus_duboisii,1.477,1140,0.169380495,3.056904851
Aipysurus_eydouxii,1.462,915,0.164947373,2.961421094
Aipysurus_foliosquama,1.438,800,0.157758886,2.903089987
Aipysurus_fuscus,1.345,940,0.128722284,2.973127854
Aipysurus_laevis,1.315,1720,0.118925753,3.235528447
Aipysurus_mosaicus,1.388,1100,0.142389466,3.041392685
Aipysurus_tenuis,1.529,1030,0.184407485,3.012837225
Emydocephalus_annulatus,1.486,1030,0.172018809,3.012837225
